* IconID;Description;Color;IconClass;Nation;Chassis;IconStyle
AG037;Infantry Class C - Commando (Elite Infantry x3);blue/grey;Fantasy Elite Infantry;Fantasy All Nations;;Fantasy
ASF11;IS-2 (mod. PA252);green;Tank;WW2 Poland;IS;Pat
ASF13;T-70 (mod. PT006);green;Tank;WW2 Poland;T-70;Pat
ASF15;Messerschmitt Me 410 Hornisse (mod. PA552);sand;Fighter (propeller);WW2 Germany Luftwaffe;Me 210;Pat
ASF16;Messerschmitt Me 410 Hornisse (mod. PA553);grey;Fighter (propeller);WW2 Germany Luftwaffe;Me 210;Pat
ASF17;IS-2 (mod. PA252);green;Tank;WW2 Czechoslovakia;IS;Pat
ASF18;SdKfz 250/1 leSPW;sand;APC (half-track);WW2 All Nations;SdKfz 10;Pat
ASF19;SdKfz 250/1 leSPW;dark grey;APC (half-track);WW2 All Nations;SdKfz 10;Pat
ASF20;T-34-85;green;Tank;WW2 Czechoslovakia;T-34;Pat
ASF21;OT-130 (captured T-26 / 1933 + Flamethrower);green;Engineer Vehicle;WW2 Finland;Vickers 6T / T-26;Pat
ASF22;T-34 / 1941;sand;Tank;WW2 Finland;T-34;Pat
ASF23;ISU-122 (mod. PA247);green;SPAT (track);WW2 Poland;IS;Pat
ASF24;T-34 / 1942;green;Tank;WW2 Poland;T-34;Pat
ASF25;SU-76M;grey;SPAT (track);WW2 Poland;T-70;Pat
ASF26;SU-85;green;SPAT (track);WW2 Poland;T-34;Pat
ASF27;Bell P-39D Airacobra;brown;Fighter (propeller);WW2 Italy;P-39;Obsolete
ASF36;B 16A Caproni Ca.313;green;Recon Plane (propeller);WW2 Sweden;Ca.310;Pat
ASF37;Junkers Ju 88 A;sand;Medium Bomber;WW2 Italy;Ju 88;Pat
ASF38;Caproni Ca.311;green;Recon Plane (propeller);WW2 Italy;Ca.310;Pat
ASF39;Caproni Ca.310 Libeccio;green;Recon Plane (propeller);WW2 Norway;Ca.310;Pat
ASF51;J 26 North American P-51D Mustang;grey/metal/blue;Fighter (propeller);WW2 / Cold War Sweden;P-51;Pat
ASF6;Heinkel He 219 A-2 Uhu;green/grey;Fighter (propeller);WW2 Germany;He 219;Obsolete
AU10;128 mm FlaK 40 + Wheels / ground combat;sand;Towed AT;WW2 All Nations;;Pat
AU11;Gas Cloud;;Terrain Layer;WW1 All Nations;;Default
AU12;75 mm Berittene Artillerie (Horse Artillery);grey;Towed Arty (horse);WW2 Germany;Horse;Obsolete
AU13;105 mm Berittene Artillerie (Horse Artillery);grey;Towed Arty (horse);WW2 Germany;Horse;Obsolete
BN1;Soko Sagyo SS-Ki (flamethrower) (mod. SBC10);sand;Engineer Vehicle;WW2 All Nations;Type 89 I-Go;Pat
BN10;Type 94A Te-Ke (mod. FZ160);sand;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN100;Semovente Ansaldo da 149/40 M43 (mod. JC415);winter/white;SPArty (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BN101;Semovente da 90/53 M41 (mod. JC414);winter/white;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BN102;L3 Lf Lancia fiamme (flamethrower) (mod. JC402);winter/white;Engineer Vehicle;WW2 All Nations;Carden Loyd;Pat
BN103;L3 Passerella (Bridge Layer) (mod. JC403);winter/white;Engineer Vehicle;WW2 All Nations;Carden Loyd;Pat
BN104;Semovente Ansaldo da 105/25 M43 Bassotto (mod. JC420);winter/white;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BN105;Fiat-SPA AS 42 Sahariana (mod. PT232);winter/white;Armored Car (4 wheels);WW2 All Nations;AB 40/43;Pat
BN106;M14/41 (mod. JC406);green;Tank;WW2 All Nations;M11/M15 Carro Medio;Pat
BN107;M14/41 (mod. JC406);winter/white;Tank;WW2 All Nations;M11/M15 Carro Medio;Pat
BN108;M15/42 (mod. JC394);winter/white;Tank;WW2 All Nations;M11/M15 Carro Medio;Pat
BN109;M11/39 (mod. JC395);winter/white;Tank;WW2 All Nations;M11/M15 Carro Medio;Pat
BN11;Type 94A Te-Ke (mod. FZ160);green;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN110;Semovente L3 da 47/32 (mod. JC404);winter/white;SPAT (track);WW2 All Nations;Carden Loyd;Pat
BN111;Paracadutisti (Paratrooper Infantry x3);olive;Paratrooper Infantry;WW2 Italy;;Default
BN112;81 mm Mortaio da 81/14 M35 Mortar + Paracadutisti Crew (x2);khaki;Glider Mortar Infantry;WW2 Italy;;Default
BN115;28 mm sPzB 41 + Fallschirmjager Crew (mod. TD72);winter/white;Towed AT;WW2 Germany;;Obsolete
BN117;105 mm LG 42 + Fallschirmjager Crew (x2) (mod. FX003);winter/white;Towed Arty;WW2 Germany;;Obsolete
BN118;75 mm LG 40 + Fallschirmjager Crew (x1) (mod. TDK51);winter/white;Towed Arty;WW2 Germany;;Obsolete
BN12;Type 94A Te-Ke (mod. FZ160);winter/white;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN126;37 mm PaK 36 + Stielgranate 41 (mod. ZYB43);sand;Towed AT;WW2 All Nations;;Pat
BN127;Paracadutisti Guastatori (Glider Assault Engineers x3);khaki;Glider Engineer Infantry;WW2 Italy;;Default
BN128;Paracadutisti Guastarori (Paratrooper Assault Engineers x3);olive;Paratrooper Engineer Infantry;WW2 Italy;;Default
BN129;Paracadutisti (Paratrooper Infantry x3);khaki;Paratrooper Infantry;WW2 Italy;;Default
BN13;Type 94B Te-Ke (mod. FZ161);sand;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN130;Paracadutisti Guastarori (Paratrooper Assault Engineers x3);khaki;Paratrooper Engineer Infantry;WW2 Italy;;Default
BN131;81 mm Mortaio da 81/14 M35 Mortar + Paracadutisti Crew (x2);olive;Glider Mortar Infantry;WW2 Italy;;Default
BN132;Alpini (Mountain Infantry x3);winter;Mountain Infantry;WW2 Italy;;Default
BN133;Genio Alpini (Mountain Bridging Infantry x3);winter;Mountain Bridging Infantry;WW2 Italy;;Default
BN134;Muli da Soma (Mule Pack x1) (mod. JKR56);winter/white;TPT Animal Pack;WW2 Italy;Mule;Juankar
BN135;Stati Maggiori Alpini (Mountain HQ Command Infantry x3) + Radio;olive;Mountain HQ Infantry;WW2 Italy;;Default
BN136;Stati Maggiori Alpini (Mountain HQ Command Infantry x3) + Radio;winter;Mountain HQ Infantry;WW2 Italy;;Default
BN137;Stati Maggiori Alpini (Mountain HQ Command Infantry x3) + Radio - colonial dress;sand/brown;Mountain HQ Infantry;WW2 Italy;;Default
BN138;Genio Alpini (Mountain Bridging Infantry x3) - colonial dress;khaki;Mountain Bridging Infantry;WW2 Italy;;Default
BN139;Alpini + 8 mm Fiat-Revelli M35 (Mountain MG Infantry x2);olive;Mountain MG Infantry;WW2 Italy;;Default
BN14;Type 94B Te-Ke (mod. FZ161);green;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN140;Alpini + 8 mm Fiat-Revelli M35 (Mountain MG Infantry x2);winter;Mountain MG Infantry;WW2 Italy;;Default
BN141;Alpini + 8 mm Fiat-Revelli M35 (Mountain MG Infantry x2) - colonial dress;khaki;Mountain MG Infantry;WW2 Italy;;Default
BN142;81 mm Mortaio da 81/14 M35 Mortar + Alpini Crew (x2);olive;Mountain Mortar Infantry;WW2 Italy;;Default
BN143;81 mm Mortaio da 81/14 M35 Mortar + Alpini Crew (x2);winter;Mountain Mortar Infantry;WW2 Italy;;Default
BN144;81 mm Mortaio da 81/14 M35 Mortar + Alpini Crew (x2) - colonial dress;khaki;Mountain Mortar Infantry;WW2 Italy;;Default
BN145;Cavalleggeri (Light Cavalry x2);olive;Cavalry (chevau-leger);WW2 Italy;Horse;Default
BN146;Rakkasan Hohei + 6.5 mm Type 3 (Paratrooper MG Infantry x2);olive;Paratrooper MG Infantry;WW2 Japan;;Default
BN147;Sanbo Honbu (Paratrooper HQ Command Infantry x3) + Radio;olive;Paratrooper HQ Infantry;WW2 Japan;;Default
BN148;Kakku Hohei (Glider Infantry x3);olive;Glider Infantry;WW2 Japan;;Default
BN149;Type 97 90 mm Mortar + Rakkasan Hohei Crew (x2) (mod. JK341);;Glider Mortar Infantry;WW2 Japan;;Obsolete
BN15;Type 94B Te-Ke (mod. FZ161);winter/white;Tank;WW2 All Nations;Type 94 Te-Ke;Pat
BN150;Paratrooper HQ Command Infantry (x3) + Radio;khaki/camo;Paratrooper HQ Infantry;WW2 UK (United Kingdom / Great Britain);;Default
BN151;Glider Infantry 1940 (x3);khaki;Glider Infantry;WW2 UK (United Kingdom / Great Britain) RAF;;Default
BN152;Glider Infantry 1944 (x3) + 0.303 (7.7 mm) Bren LMG;khaki/camo;Elite Glider Infantry;WW2 UK (United Kingdom / Great Britain);;Default
BN153;Paratroopers + 0.303 (7.7 mm) Vickers (Paratrooper MG Infantry x2);khaki/camo;Paratrooper MG Infantry;WW2 UK (United Kingdom / Great Britain);;Default
BN154;ML 3 inch (81 mm) Mortar + Paratrooper Crew (x2);khaki/camo;Paratrooper Mortar Infantry;WW2 UK (United Kingdom / Great Britain);;Default
BN155;81 mm Brandt modele 27/31 Mortar + Crew (x2);olive;Mortar Infantry;WW2 France;;Default
BN156;81 mm 36M / 39M Mortar + Crew (x2) (mod. JKI63);;Mortar Infantry;WW2 Hungary;;Obsolete
BN157;81 mm Mortar + Crew (x2) (mod. JK450);olive/khaki;Mortar Infantry;WW2 China Nationalist;;Obsolete
BN158;81 mm Mortar + Crew (x2) (mod. JK474);;Mortar Infantry;WW2 Netherlands;;Obsolete
BN159;81 mm Valero M33 Mortar + Crew (x2);brown;Mortar Infantry;WW2 Spain Republican;;Default
BN16;Type 89 I-Go (Chi-Ro) Otsu (mod. FZ158);sand;Tank;WW2 All Nations;Type 89 I-Go;Pat
BN160;Honved (Infantry x3);winter;Regular Infantry;WW2 Hungary;;Default
BN161;Parancsnoksag (HQ Command Infantry x3) + Radio;winter;HQ Infantry;WW2 Hungary;;Default
BN162;81 mm 36M / 39M Mortar + Crew (x2) (mod. JKI63);winter;Mortar Infantry;WW2 Hungary;;Obsolete
BN163;Infanterie 1940 (Infantry x3);khaki/brown;Regular Infantry;WW2 Romania;;Default
BN164;82 mm BM-37 Mortar + Crew 1950 (x2);olive/sand;Mortar Infantry;Cold War China PLA (Communist);;Default
BN165;7.62 mm Maxim-Sokolov obr. 1910 (MG Infantry x2);sand;MG Infantry;WW2 China PLA (Communist);;Default
BN168;MVSN Camicie Nere (Blackshirts) (Militia Infantry x3);winter (coat);Militia Infantry;WW2 Italy;;Default
BN169;Fanteria 1931 (Infantry x3);winter (coat);Regular Infantry;WW2 Italy;;Default
BN17;Type 89 I-Go (Chi-Ro) Otsu (mod. FZ158);green;Tank;WW2 All Nations;Type 89 I-Go;Pat
BN170;Fanteria 1943 (Infantry x3) + LMG;winter (coat);Regular Infantry;WW2 Italy;;Default
BN171;Stati Maggiori (HQ Command Infantry x3) + Radio;winter (coat);HQ Infantry;WW2 Italy;;Default
BN172;Bersaglieri 1935 (Elite Infantry x3);winter;Elite Infantry;WW2 Italy;;Default
BN173;Bersaglieri Motociclisti (Motorcycle x3);winter/white;Motorcyclist;WW2 Italy;Moto;Default
BN174;Cavalleggeri (Light Cavalry x2);winter/grey;Cavalry (chevau-leger);WW2 Italy;Horse;Default
BN175;Genio (Bridging Infantry x3);winter (coat);Bridging Infantry;WW2 Italy;;Default
BN176;Guastatori (Assault Engineers x3);winter (coat);Engineer Infantry;WW2 Italy;;Default
BN177;81 mm Mortaio da 81/14 M35 Mortar + Crew (x2);olive;Mortar Infantry;WW2 Italy;;Default
BN178;81 mm Mortaio da 81/14 M35 Mortar + Crew (x2);winter (coat);Mortar Infantry;WW2 Italy;;Default
BN179;8 mm Fiat-Revelli M35 (MG Infantry x2);winter (coat);MG Infantry;WW2 Italy;;Default
BN18;Type 89 I-Go (Chi-Ro) Otsu (mod. FZ158);winter/white;Tank;WW2 All Nations;Type 89 I-Go;Pat
BN180;Motociclisti (Motorcycle x3);winter (coat);Motorcyclist;WW2 Italy;Moto;Default
BN181;L3/35 (C.V.35) (mod. PA397);winter/white;Tank;WW2 All Nations;Carden Loyd;Pat
BN182;L5/21 Fiat 3000 (mod. PT449);winter/white;Tank;WW2 All Nations;Char Ft-17;Pat
BN183;L6/40 (mod. PA231);winter/white;Tank;WW2 All Nations;L6;Pat
BN184;M13/40 (mod. PA395);winter/white;Tank;WW2 All Nations;M11/M15 Carro Medio;Pat
BN185;P26/40 (mod. PT235);winter/white;Tank;WW2 All Nations;P40;Pat
BN186;Renault R 35 + tail (mod. PT140);winter/white;Tank;WW2 All Nations;Char R 35/40;Pat
BN187;Somua S-35 (mod. PT120);winter/white;Tank;WW2 All Nations;Char S 35/40;Pat
BN188;SdKfz 6 Zugkraftwagen 5t (mod. PA317);winter/white;TPT (half-track);WW2 All Nations;SdKfz 6;Pat
BN189;Horse Wagon - Large (x4) (mod. TDZ59);winter/white;TPT Animal Carriage;1800 / WW1 / WW2 All Nations;Wagon;Pat
BN19;Renault NC-27 (mod. FZ102);sand;Tank;WW2 All Nations;Char NC;Fitzroy
BN190;Horse Wagon - Large (x2) (mod. PAT16);winter/white;TPT Animal Carriage;1800 / WW1 / WW2 All Nations;Wagon;Pat
BN191;Pavesi P4/100 modello 30A Tractor (mod. TDU55);winter/white;TPT (4 wheels);WW2 All Nations;Pavesi P4;Pat
BN192;AB 43 (mod. PT230);winter/white;Armored Car (4 wheels);WW2 All Nations;AB 40/43;Pat
BN193;AB 41 (mod. PT227);winter/white;Armored Car (4 wheels);WW2 All Nations;AB 40/43;Pat
BN194;AB 40 (mod. PT225);winter/white;Armored Car (4 wheels);WW2 All Nations;AB 40/43;Pat
BN195;Lancia 1Z (mod. PA460);winter/white;Armored Car (4 wheels);WW1 / WW2 All Nations;;Pat
BN196;Fiat 611 (mod. PT446);winter/white;Armored Car (6 wheels);WW2 All Nations;;Pat
BN197;Daimler Dingo Mk I / Lynx Mk II Scout Car (mod. PT086);winter/white;Armored Car (4 wheels);WW2 All Nations;;Pat
BN198;Semovente L40 da 47/32 (mod. PA232);winter/white;SPAT / SPArty (track);WW2 All Nations;L6;Pat
BN199;Semovente Ansaldo da 75/46 M43 (mod. PT240);winter/white;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BN2;Soko Sagyo SS-Ki (flamethrower) (mod. SBC10);green;Engineer Vehicle;WW2 All Nations;Type 89 I-Go;Pat
BN20;Renault NC-27 (mod. FZ102);green;Tank;WW2 All Nations;Char NC;Fitzroy
BN200;75 mm Autocannone da 75/27 su Lancia 3RO / ground combat (mod. JC438);winter/white;SPAT (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN201;90 mm Autocannone da 90/53 su Lancia 3RO / ground combat (mod. JC442);winter/white;SPAT (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN202;210 mm Obice da 210/22 modello 1935;dark grey;Towed Arty;WW2 All Nations;;Pat
BN203;Semovente Ansaldo da 75/34 M42 (mod. PA393);winter/white;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BN204;100 mm Obice da 100/17 su Lancia 3RO (mod. JC446);winter/white;SPArty (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN205;Fiat 626 + Breda 20 mm Cannone-Mitragliera da 20/65 M35 (mod. JC451);winter/white;SPAD (4 wheels);WW2 All Nations;Fiat 626;Juankar
BN206;75 mm Autocannone da 75/27 su Lancia 3RO (mod. JC434);winter/white;SPAD (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN207;90 mm Autocannone da 90/53 su Lancia 3RO (mod. JC430);winter/white;SPAD (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN208;Lancia 3RO (mod. JK246);winter/white;TPT (4 wheels);WW2 All Nations;Lancia 3RO;Juankar
BN209;Fiat 626 (mod. JC425);winter/white;TPT (4 wheels);WW2 All Nations;Fiat 626;Juankar
BN21;Renault NC-27 (mod. FZ102);winter/white;Tank;WW2 All Nations;Char NC;Fitzroy
BN210;Fiat-SPA TM40 Tractor (open) (mod. JK59);winter/white;TPT (4 wheels);WW2 All Nations;TM40;Pat
BN211;Fiat 621 (mod. JKY95);winter/white;TPT (4 wheels);WW2 All Nations;Fiat 621;Juankar
BN212;Crossley IGL1 (mod. JKR31);winter/white;TPT (4 wheels);WW1 / WW2 All Nations;;Juankar
BN213;Steyr 1500 A/01 sEPkw (mod. JKT00);winter/white;TPT (jeep);WW2 All Nations;Steyr 1500A;Pat
BN214;Horse Wagon - Small (x2) (mod. TDZ97);winter/white;TPT Animal Carriage;1800 / WW1 / WW2 All Nations;Wagon;Pat
BN215;3.3 inch (83.8 mm) QF 18 pdr Mk I (mod. PT327);winter/white;Towed Arty;WW1 All Nations;;Pat
BN216;47 mm Cannone da 47/32 M35 / 47 mm PaK 35 / 36(o) Bohler (mod. PT212);winter/white;Towed AT;WW2 All Nations;;Pat
BN217;37 mm AP Maklena (McClean) obr. 1916 (mod. PA409);winter/white;Towed AT;WW1 / WW2 All Nations;;Pat
BN218;122 mm Gaubitsa obr. 1910/30 (mod. LE059);winter/white;Towed Arty;WW2 All Nations;;Pat
BN219;155 mm GPF M1918A1 on Carriage M3 (mod. PA771);winter/white;Towed Arty;WW2 All Nations;;Pat
BN22;Type 1 Ho-Ni I (mod. FZ154);sand;SPAT (track);WW2 All Nations;Type 97 Chi-Ha;Fitzroy
BN220;210 mm Obice da 210/22 modello 1935;winter/white;Towed Arty;WW2 All Nations;;Pat
BN221;155 mm Canon de 155 C modele 1917 Schneider / 155 mm sFH 414(f) (mod. JC200);winter/white;Towed Arty;WW1 / WW2 All Nations;;Juankar
BN222;Skoda 100 mm Feldhaubitze M.14 / 100 mm Houfnice vz. 14 / 100 mm Obice da 100/17 modelo 14 (mod. LE108);winter/white;Towed Arty;WW1 All Nations;;Pat
BN223;75 mm Pack Howitzer M1A1 on Carriage M3A3 - split trail (mod. PT385);winter/white;Towed Arty;WW2 All Nations;;Pat
BN224;65 mm Canon de 65 Montagne modele 1906 Schneider-Ducrest / 65 mm GebK 221(f) (mod. JC248);winter/white;Towed Arty;WW1 / WW2 / Cold War All Nations;;Juankar
BN225;Hotchkiss 25 mm Mitrailleuse modele 1939 + wheels (mod. PT218);winter/white;Towed AD;WW2 All Nations;;Pat
BN226;85 mm ZP obr. 1939 (52-K) + Wheels (mod. PT485);winter/white;Towed AD;WW2 All Nations;;Pat
BN227;76.2 mm ZP obr. 1938 (mod. PT479);winter/white;Towed AD;WW2 All Nations;;Pat
BN228;Oerlikon 20 mm AAMG - Single Barrel (mod. PA709);winter/white;Towed AD;WW1 / WW2 All Nations;;Pat
BN229;Fanteria Trinceata (Entrenched Infantry x3);winter;Entrenched Infantry;WW2 Italy;;Default
BN23;Type 1 Ho-Ni I (mod. FZ154);green;SPAT (track);WW2 All Nations;Type 97 Chi-Ha;Fitzroy
BN230;75 mm PaK 97/38(f) (mod. PT301);winter/white;Towed AT;WW2 All Nations;;Pat
BN231;37 mm PaK 36 + Stielgranate 41 (mod. ZYB43);winter/white;Towed AT;WW2 All Nations;;Pat
BN232;Breda 20 mm Cannone-Mitragliera da 20/65 M35 (mod. PT172);winter/white;Towed AD;WW2 All Nations;;Pat
BN233;Isuzu Type 94 (open) (mod. ZYB75);winter/white;TPT (6 wheels);WW2 All Nations;Isuzu Type 94;Pat
BN234;Isuzu Type 97 (mod. ZYB74);winter/white;TPT (4 wheels);WW2 All Nations;Isuzu Type 97;Pat
BN235;155 mm Gun M1918 (mod. MC04);winter/white;Towed Arty;WW2 All Nations;;Vito
BN236;Isuzu Type 94 + 20 mm AD (mod. ZYD52);winter/white;SPAD (6 wheels);WW2 All Nations;Isuzu Type 94;Pat
BN237;Caterpillar D-4 Tractor (mod. TDU31);winter/white;TPT (track);WW2 All Nations;;Pat
BN238;M29C Water Weasel (mod. PA479);brown;TPT (amphibious);WW2 / Cold War All Nations;M29 Weasel;Pat
BN239;M29C Water Weasel (mod. PA479);winter/white;TPT (amphibious);WW2 / Cold War All Nations;M29 Weasel;Pat
BN24;Type 1 Ho-Ni I (mod. FZ154);winter/white;SPAT (track);WW2 All Nations;Type 97 Chi-Ha;Fitzroy
BN240;International Harvester TD-18 Tractor (mod. SBT07);winter/white;TPT (track);WW2 All Nations;TD-18;Pat
BN241;SdKfz 11 Zugkraftwagen 3t (open) (mod. TDZ46);winter/white;TPT (half-track);WW2 All Nations;SdKfz 11;Pat
BN242;Renault Ft-17 (mod. PA400);winter/white;Tank;WW1 / WW2 All Nations;Char Ft-17;Pat
BN243;Type 5 Ke-Ho (mod. JC295);winter/camo;Tank;WW2 All Nations;Type 5 Ke-Ho;Pat
BN244;43M Turan III / Type 5 Chi-Ri (mod. PT250);winter/white;Tank;WW2 All Nations;Turan;Pat
BN245;40M Nimrod (Landsverk L-62 anti II) / ground combat (mod. PT312);winter/white;SPAT (track);WW2 All Nations;Strv L-60 / Toldi;Pat
BN246;Austin-Putilov Mk III (mod. ZYD21);winter/white;Armored Car (4 wheels);WW1 All Nations;;Pat
BN247;37 mm KPUV vz. 37 / 37 mm PaK 37(t) (mod. PT433);winter/white;Towed AT;WW2 All Nations;;Pat
BN248;Bofors 57 mm m/43 (mod. PT416);winter/white;Towed AT;WW2 All Nations;;Pat
BN249;Hotchkiss 25 mm Mitrailleuse modele 1939 + wheels / ground combat (mod. PT221);winter/white;Towed AT;WW2 All Nations;;Pat
BN25;Type 3 Ho-Ni III (mod. FZ156);sand;SPAT (track);WW2 All Nations;Type 97 Chi-Ha;Fitzroy
BN250;76.2 mm PaK 36(r) (mod. PA190);winter/white;Towed AT;WW2 All Nations;;Pat
BN251;37 mm PaK 36 (mod. PA186);green;Towed AT;WW2 All Nations;;Pat
BN252;37 mm PaK 36 (mod. PA186);winter/white;Towed AT;WW2 All Nations;;Pat
BN253;37 mm AP Maklena (McClean) obr. 1916 (mod. PA409);sand;Towed AT;WW1 / WW2 All Nations;;Pat
BN254;Hotchkiss 25 mm Mitrailleuse modele 1939 (mod. PT215);winter/white;Towed AD;WW2 All Nations;;Pat
BN255;85 mm ZP obr. 1939 (52-K) (mod. PT404);winter/white;Towed AD;WW2 All Nations;;Pat
BN256;105 mm FlaK 38/39 (mod. PT407);winter/white;Towed AD;WW2 All Nations;;Pat
BN257;Type 11 75 mm AA Gun (mod. PT190);winter/white;Towed AD;WW1 / WW2 All Nations;;Pat
BN258;76.2 mm ZP obr. 1938 on Carriage ZU-8 (wheels) (mod. PT482);winter/white;Towed AD;WW2 All Nations;;Pat
BN259;Browning M2HB 0.5 inch (12.7 mm) AAMG (mod. TDU71);winter/white;Towed AD;WW2 All Nations;;Pat
BN26;Type 3 Ho-Ni III (mod. FZ156);green;SPAT (track);WW2 All Nations;Type 97 Chi-Ha;Fitzroy
BN260;20 mm FlaK 30 (mod. PA259);winter/white;Towed AD;WW2 All Nations;;Pat
BN261;105 mm leFH 18/42 (mod. PA825);winter/white;Towed Arty;WW2 All Nations;;Pat
BN262;BL 6 inch (152 mm) 26 cwt Howitzer - spoked wheels (mod. JC265);winter/white;Towed Arty;WW1 All Nations;;Juankar
BN263;Type 38 75 mm Field Gun (mod. JC204);winter/white;Towed Arty;WW1 / WW2 All Nations;;Juankar
BN264;Putilov 122 mm Gaubitsa obr. 1909 (mod. JC223);winter/white;Towed Arty;WW1 All Nations;;Pat
BN265;75 mm M1897A2 (mod. PA161);winter/white;Towed Arty;WW2 All Nations;;Pat
BN266;Skoda 104 mm FK M.15 (mod. LE087);winter/white;Towed Arty;WW1 / WW2 All Nations;;Pat
BN267;75 mm leIG 18 (mod. PT375);winter/white;Towed Arty;WW1 / WW2 All Nations;;Pat
